"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"ORIENTELEC","INE142Z01019","Orient Electric Limited","14-May-2018","1","1","1","-"
"HITECH","INE106T01017","Hi-Tech Pipes Limited","07-May-2018","10","10","1","-"
"CHEMFAB","INE783X01023","Chemfab Alkalis Limited","25-Apr-2018","10","10","1","-"
"LEMONTREE","INE970X01018","Lemon Tree Hotels Limited","09-Apr-2018","10","10","1","-"
"CENTRUM","INE660C01027","Centrum Capital Limited","04-Apr-2018","1","1","1","-"
"ISEC","INE763G01038","ICICI Securities Limited","04-Apr-2018","5","5","1","-"
"MIDHANI","INE099Z01011","Mishra Dhatu Nigam Limited","04-Apr-2018","10","10","1","-"
"SANDHAR","INE278H01035","Sandhar Technologies Limited","02-Apr-2018","10","10","1","-"
"KARDA","INE278R01018","Karda Constructions Limited","02-Apr-2018","10","10","1","-"
"HAL","INE066F01012","Hindustan Aeronautics Limited","28-Mar-2018","10","10","1","-"
"BANDHANBNK","INE545U01014","Bandhan Bank Limited","27-Mar-2018","10","10","1","-"
"SUNDARMHLD","INE202Z01029","Sundaram Finance Holdings Limited","26-Mar-2018","5","5","1","-"
"BDL","INE171Z01018","Bharat Dynamics Limited","23-Mar-2018","10","10","1","-"
"HGINFRA","INE926X01010","H.G. Infra Engineering Limited","09-Mar-2018","10","10","1","-"
"GMMPFAUDLR","INE541A01023","GMM Pfaudler Limited","05-Mar-2018","2","2","1","-"
"ASTERDM","INE914M01019","Aster DM Healthcare Limited","26-Feb-2018","10","10","1","-"
"SHIVAMILLS","INE644Y01017","Shiva Mills Limited","26-Feb-2018","10","10","1","-"
"GALAXYSURF","INE600K01018","Galaxy Surfactants Limited","08-Feb-2018","10","10","1","-"
"PRAXIS","INE546Y01022","Praxis Home Retail Limited","31-Jan-2018","5","5","1","-"
"AMBER","INE371P01015","Amber Enterprises India Limited","30-Jan-2018","10","10","1","-"
"NEWGEN","INE619B01017","Newgen Software Technologies Limited","29-Jan-2018","10","10","1","-"
"APOLLO","INE713T01010","Apollo Micro Systems Limited","22-Jan-2018","10","10","1","-"
"ASTRON","INE646X01014","Astron Paper & Board Mill Limited","29-Dec-2017","10","10","1","-"
"SHIVATEX","INE705C01020","Shiva Texyarn Limited","26-Dec-2017","10","10","1","-"
"FSC","INE935Q01015","Future Supply Chain Solutions Limited","18-Dec-2017","10","10","1","-"
"SHALBY","INE597J01018","Shalby Limited","15-Dec-2017","10","10","1","-"
"DNAMEDIA","INE016M01021","Diligent Media Corporation Limited","11-Dec-2017","1","1","1","-"
"HDFCLIFE","INE795G01014","HDFC Life Insurance Company Limited","17-Nov-2017","10","10","1","-"
"5PAISA","INE618L01018","5Paisa Capital Limited","16-Nov-2017","10","10","1","-"
"IFGLEXPOR","INE133Y01011","IFGL Refractories Limited","14-Nov-2017","10","10","1","-"
"KHADIM","INE834I01025","Khadim India Limited","14-Nov-2017","10","10","1","-"
"NIACL","INE470Y01017","The New India Assurance Company Limited","13-Nov-2017","5","5","1","-"
"MAHLOG","INE766P01016","Mahindra Logistics Limited","10-Nov-2017","10","10","1","-"
"NAM-INDIA","INE298J01013","Nippon Life India Asset Management Limited","06-Nov-2017","10","10","1","-"
"TIINDIA","INE974X01010","Tube Investments of India Limited","02-Nov-2017","1","1","1","-"
"GICRE","INE481Y01014","General Insurance Corporation of India","25-Oct-2017","5","5","1","-"
"IEX","INE022Q01020","Indian Energy Exchange Limited","23-Oct-2017","1","1","1","-"
"MASFIN","INE348L01012","MAS Financial Services Limited","18-Oct-2017","10","10","1","-"
"TCPLPACK","INE822C01015","TCPL Packaging Limited","17-Oct-2017","10","10","1","-"
"GODREJAGRO","INE850D01014","Godrej Agrovet Limited","16-Oct-2017","10","10","1","-"
"SCAPDVR","INE224E01036","Stampede Capital Limited","10-Oct-2017","1","1","1","-"
"DIAMONDYD","INE393P01035","Prataap Snacks Limited","05-Oct-2017","5","5","1","-"
"SBILIFE","INE123W01016","SBI Life Insurance Company Limited","03-Oct-2017","10","10","1","-"
"ICICIGI","INE765G01017","ICICI Lombard General Insurance Company Limited","27-Sep-2017","10","10","1","-"
"CAPACITE","INE264T01014","Capacit'e Infraprojects Limited","25-Sep-2017","10","10","1","-"
"CHOLAHLDNG","INE149A01033","Cholamandalam Financial Holdings Limited","25-Sep-2017","1","1","1","-"
"RHFL","INE217K01011","Reliance Home Finance Limited","22-Sep-2017","10","10","1","-"
"MATRIMONY","INE866R01028","Matrimony.Com Limited","21-Sep-2017","5","5","1","-"
"LASA","INE670X01014","Lasa Supergenerics Limited","21-Sep-2017","10","10","1","-"
"DCAL","INE385W01011","Dishman Carbogen Amcis Limited","21-Sep-2017","2","2","1","-"
"DIXON","INE935N01012","Dixon Technologies (India) Limited","18-Sep-2017","10","10","1","-"
"BRNL","INE727S01012","Bharat Road Network Limited","18-Sep-2017","10","10","1","-"
"APEX","INE346W01013","Apex Frozen Foods Limited","04-Sep-2017","10","10","1","-"
"ABCAPITAL","INE674K01013","Aditya Birla Capital Limited","01-Sep-2017","10","10","1","-"
"SMSLIFE","INE320X01016","SMS Lifesciences India Limited","17-Aug-2017","10","10","1","-"
"COCHINSHIP","INE704P01017","Cochin Shipyard Limited","11-Aug-2017","10","10","1","-"
"SIS","INE285J01028","Security and Intelligence Services (India) Limited","10-Aug-2017","5","5","1","-"
"SPTL","INE501W01021","Sintex Plastics Technology Limited","08-Aug-2017","1","1","1","-"
"OPTIEMUS","INE350C01017","Optiemus Infracom Limited","08-Aug-2017","10","10","1","-"
"THEINVEST","INE924D01017","The Investment Trust Of India Limited","02-Aug-2017","10","10","1","-"
"PALASHSECU","INE471W01019","Palash Securities Limited","28-Jul-2017","10","10","1","-"
"AVADHSUGAR","INE349W01017","Avadh Sugar & Energy Limited","28-Jul-2017","10","10","1","-"
"MAGADSUGAR","INE347W01011","Magadh Sugar & Energy Limited","28-Jul-2017","10","10","1","-"
"GANGESSECU","INE335W01016","Ganges Securities Limited","28-Jul-2017","10","10","1","-"
"SALASAR","INE170V01019","Salasar Techno Engineering Limited","25-Jul-2017","10","10","1","-"
"STEELXIND","INE503B01013","STEEL EXCHANGE INDIA LIMITED","20-Jul-2017","10","10","1","-"
"BHAGYAPROP","INE363W01018","Bhagyanagar Properties Limited","20-Jul-2017","2","2","1","-"
"DYNPRO","INE256H01015","Dynemic Products Limited","19-Jul-2017","10","10","1","-"
"AUBANK","INE949L01017","AU Small Finance Bank Limited","10-Jul-2017","10","10","1","-"
"GTPL","INE869I01013","GTPL Hathway Limited","04-Jul-2017","10","10","1","-"
"CDSL","INE736A01011","Central Depository Services (India) Limited","30-Jun-2017","10","10","1","-"
"ERIS","INE406M01024","Eris Lifesciences Limited","29-Jun-2017","1","1","1","-"
"TEJASNET","INE010J01012","Tejas Networks Limited","27-Jun-2017","10","10","1","-"
"STARCEMENT","INE460H01021","Star Cement Limited","16-Jun-2017","1","1","1","-"
