"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"AYMSYNTEX","INE193B01039","AYM Syntex Limited","14-Aug-2015","10","10","1","-"
"KAYA","INE587G01015","Kaya Limited","14-Aug-2015","10","10","1","-"
"SYNGENE","INE398R01022","Syngene International Limited","11-Aug-2015","10","10","1","-"
"ADANITRANS","INE931S01010","Adani Transmission Limited","31-Jul-2015","10","10","1","-"
"SHYAMCENT","INE979R01011","Shyam Century Ferrous Limited","28-Jul-2015","1","1","1","-"
"BALKRISHNA","INE875R01011","Balkrishna Paper Mills Limited","28-Jul-2015","10","10","1","-"
"ORICONENT","INE730A01022","Oricon Enterprises Limited","24-Jul-2015","2","2","1","-"
"ALANKIT","INE914E01040","Alankit Limited","30-Jun-2015","1","1","1","-"
"SKIPPER","INE439E01022","Skipper Limited","27-May-2015","1","1","1","-"
"PNCINFRA","INE195J01029","PNC Infratech Limited","26-May-2015","2","2","1","-"
"ARROWGREEN","INE570D01018","Arrow Greentech Limited","21-May-2015","10","10","1","-"
"NILAINFRA","INE937C01029","Nila Infrastructures Limited","21-May-2015","1","1","1","-"
"TPLPLASTEH","INE413G01014","TPL Plastech Limited","20-May-2015","10","10","1","-"
"UFO","INE527H01019","UFO Moviez India Limited","14-May-2015","10","10","1","-"
"FAIRCHEM","INE959A01019","Fairchem Speciality Limited","08-May-2015","10","10","1","-"
"BCG","INE425B01027","Brightcom Group Limited","08-May-2015","2","2","1","-"
"MEP","INE776I01010","MEP Infrastructure Developers Limited","06-May-2015","10","10","1","-"
"VRLLOG","INE366I01010","VRL Logistics Limited","30-Apr-2015","10","10","1","-"
"VETO","INE918N01018","Veto Switchgears And Cables Limited","29-Apr-2015","10","10","1","-"
"VIPULLTD","INE946H01037","Vipul Limited","23-Apr-2015","1","1","1","-"
"BYKE","INE319B01014","The Byke Hospitality Ltd","15-Apr-2015","10","10","1","-"
"LFIC","INE850E01012","Lakshmi Finance & Industrial Corporation Limited","15-Apr-2015","10","10","1","-"
"AVANTIFEED","INE871C01038","Avanti Feeds Limited","15-Apr-2015","1","1","1","-"
